,Highest Ratio,Average Others,T-Statistic,P-Value,Label
145,0.22033898305084745,0.18135593220338983,-5.276561879022918,0.01327183724912819,Original
146,0.26666666666666666,0.17796610169491525,-5.028024029479735,0.015158299248004988,Original
147,0.26666666666666666,0.1822033898305085,-7.92070349524896,0.004195693967370819,Original
148,0.23728813559322035,0.18545197740112995,-2.9798032437751925,0.05860625147640999,Original
149,0.3728813559322034,0.26958568738229755,-2.957002218815846,0.09786519767422906,Original
150,0.23333333333333334,0.1652542372881356,-3.6229338549736347,0.03617265345530896,Original
151,0.2711864406779661,0.22796610169491527,-2.846542418148333,0.06529426992156556,Original
152,0.2711864406779661,0.14774011299435028,-4.041966945913288,0.02725273967177257,Original
153,0.2542372881355932,0.19406779661016949,-3.4332517325533063,0.041439515376910444,Original
154,0.2711864406779661,0.14738700564971752,-4.874543567127261,0.016500349284977168,Original
155,0.23333333333333334,0.211864406779661,-4.387862045841163,0.021924602127579518,Original
156,0.23728813559322035,0.1796610169491525,-5.666666666666667,0.029758752589905717,Original
157,0.23728813559322035,0.19830508474576272,-3.682947537517003,0.034686070852458215,Original
158,0.22033898305084745,0.15160075329566855,-4.166330062408052,0.05306537932277536,Original
159,0.23728813559322035,0.19392655367231637,-2.224345699469886,0.11258691448891019,Original
160,0.1694915254237288,0.1056497175141243,-4.336541993961348,0.022624336731357778,Original
161,0.23728813559322035,0.1797551789077213,-3.8907727779580643,0.060159036553398035,Original
162,0.2542372881355932,0.18968926553672316,-2.986928104575163,0.058273407134112075,Original
163,0.22033898305084745,0.14048964218455745,-3.229591652487888,0.08397470085153524,Original
164,0.1694915254237288,0.1391949152542373,-3.8838243353571547,0.03024595201311427,Original
165,0.2542372881355932,0.16885593220338982,-3.6939328104988762,0.03442246894212467,Original
166,0.2542372881355932,0.20268361581920902,-3.2230287355249403,0.04847230125929893,Original
167,0.2542372881355932,0.22201351933310776,-3.1365710180077406,0.0518009301559042,Original
168,0.26666666666666666,0.21610169491525424,-3.493722261155749,0.0396601427679115,Original
169,0.23728813559322035,0.1910546139359699,-7.418137270026101,0.017691506692045566,Original
170,0.3050847457627119,0.23192090395480225,-3.3773352617852765,0.043176200293171145,Original
171,0.2033898305084746,0.1432909604519774,-1.8928833055825962,0.15471358909740393,Original
172,0.2033898305084746,0.1290018832391714,-3.8230779561170367,0.06211218967841154,Original
173,0.3050847457627119,0.2193502824858757,-4.75599598618577,0.017644508859181555,Original
174,0.2033898305084746,0.1601694915254237,-2.0803333919424123,0.12896148504661395,Original
175,0.288135593220339,0.1901129943502825,-3.182414988821109,0.05000120219940348,Original
176,0.3389830508474576,0.2531779661016949,-6.182185493474629,0.008522718517249426,Original
177,0.3559322033898305,0.2658898305084746,-4.202979499690264,0.024585862477064943,Original
178,0.288135593220339,0.2192090395480226,-3.4729797480883895,0.040259338911251656,Original
179,0.3050847457627119,0.19399717514124296,-7.840633887955942,0.004320681154632681,Original
180,0.288135593220339,0.19413841807909604,-5.2860346002987235,0.013206166418066021,Original
181,0.2711864406779661,0.2078154425612053,-2.134529747722321,0.16636576065135147,Original
182,0.2711864406779661,0.22372881355932203,-3.59486813709167,0.036895807895617604,Original
183,0.3220338983050847,0.12245762711864407,-7.84890994931086,0.004307536410571643,Original
184,0.2833333333333333,0.21610169491525422,-2.401102376173316,0.09577949808406833,Original
185,0.2542372881355932,0.20254237288135596,-7.415534221028932,0.005073622594306211,Original
186,0.2711864406779661,0.1772598870056497,-6.333333333333335,0.007959883216421762,Original
187,0.18333333333333332,0.15677966101694915,-6.26666666666667,0.00820192086968827,Original
188,0.2542372881355932,0.19413841807909604,-5.382088936904238,0.012563625893657768,Original
189,0.2711864406779661,0.23545197740112994,-1.9022556390977454,0.30811702486531156,Original
190,0.35,0.2754237288135593,-9.191300234460838,0.0027235534322141448,Original
191,0.26666666666666666,0.20338983050847456,-2.536300556483895,0.08495405146875473,Original
192,0.23728813559322035,0.1307909604519774,-10.043517801177494,0.002101488368509634,Original
193,0.22033898305084745,0.14766949152542375,-6.856800905858473,0.006350573689746284,Original
194,0.288135593220339,0.16871468926553673,-7.1482687865653824,0.005637501684561561,Original
195,0.23333333333333334,0.1483050847457627,-2.948006683383839,0.06012104778921462,Original
196,0.26666666666666666,0.14830508474576273,-4.1037036556074025,0.02618807381282589,Original
197,0.22033898305084745,0.16885593220338985,-6.912825719494809,0.0062046516135269335,Original
198,0.21666666666666667,0.1694915254237288,-3.936227748605116,0.02920926328962092,Original
199,0.288135593220339,0.19858757062146892,-3.923159163483533,0.029463468310785026,Original
200,0.4745762711864407,0.3416666666666667,-7.374780272477125,0.0051546431499948815,Original
201,0.4406779661016949,0.346045197740113,-6.302829818170098,0.008069446993235066,Original
202,0.5423728813559322,0.38834745762711864,-7.130307147698573,0.005678300191929151,Original
203,0.4576271186440678,0.36292372881355933,-3.837369345431411,0.031204798309479358,Original
204,0.4745762711864407,0.37542372881355934,-7.414573731136387,0.005075512686812505,Original
205,0.43333333333333335,0.3686440677966102,-4.46962233410428,0.020866618588713408,Original
206,0.4666666666666667,0.3601694915254237,-7.358286550031938,0.005187918406325382,Original
207,0.4745762711864407,0.3504237288135593,-6.6711622996447275,0.006867611409633449,Original
208,0.3898305084745763,0.3543785310734463,-3.127498225142409,0.05216674452503871,Original
209,0.3898305084745763,0.3331920903954802,-1.7611959878594572,0.1764230443495778,Original
210,0.5254237288135594,0.4387005649717514,-3.5958734600175015,0.03686958706248058,Original
211,0.4576271186440678,0.3257062146892655,-6.924029541793238,0.02022773333106733,Original
212,0.4576271186440678,0.3334745762711865,-4.989086378646126,0.015484895041677766,Original
213,0.4406779661016949,0.29555084745762716,-4.560758399398884,0.019763952369741263,Original
214,0.4745762711864407,0.37570621468926557,-3.448652473575024,0.04097685603288608,Original
215,0.4406779661016949,0.388135593220339,-4.65582342119235,0.018692942668843485,Original
216,0.4406779661016949,0.37125706214689264,-4.6417007257391365,0.018847202898111523,Original
217,0.4666666666666667,0.3008474576271187,-3.3764082011477075,0.04320576532803089,Original
218,0.4745762711864407,0.3799435028248587,-2.299434047232845,0.10504286102353275,Original
219,0.4745762711864407,0.3674435028248587,-3.575513903469711,0.03740527845126834,Original
220,0.4745762711864407,0.4132768361581921,-2.677380542667445,0.07521629738306508,Original
221,0.5166666666666667,0.3559322033898305,-8.779860612843027,0.0031123529183814187,Original
222,0.4406779661016949,0.38210922787193974,-2.7837850452128095,0.10845055325071953,Original
223,0.4915254237288136,0.35812146892655367,-2.5160267825812963,0.08647807452830744,Original
224,0.4166666666666667,0.3601694915254237,-3.233808333817773,0.0480764627944047,Original
225,0.4406779661016949,0.36694915254237287,-2.474962294633946,0.08966910755373639,Original
226,0.4745762711864407,0.3294491525423729,-5.302012165253797,0.013096358284056045,Original
227,0.4406779661016949,0.3333333333333333,-4.82600482600724,0.016956798300543117,Original
228,0.4666666666666667,0.3177966101694915,-7.026666666666668,0.0059214753537602605,Original
229,0.5084745762711864,0.379590395480226,-4.111518045317934,0.02605716031917639,Original
